Origin,Destination,Travel Time,Kilometers
181,278,26.99057358,19.70350892
181,437,27.03008226,24.54503092
181,405,27.12672858,32.48491279
181,408,27.52375683,24.50007543
181,158,28.26310617,24.96321263
181,982,28.45451763,25.1122072
181,516,30.92429133,26.56102741
181,450,31.27836453,27.09978122
181,604,32.4392905,29.36211907
181,394,32.49007499,30.98947848
181,984,34.7504673,31.65062555
203,203,0,0
203,405,2.562814792,1.24879448
203,264,4.985606198,2.711399114
203,252,5.271030084,3.010424776
203,223,5.405487253,3.205244058
203,278,6.263395276,3.853926561
203,412,6.374384761,3.700154459
203,328,6.793283048,5.395483768
203,437,7.483296113,4.449901302
203,178,7.837184223,4.873296493
203,450,8.122820439,5.116346826
203,750,8.675475359,6.882558537
203,516,9.001542075,5.383691568
203,457,9.309088069,8.99253845
203,394,9.400797804,6.525923982
203,426,10.10038519,7.076443934
203,497,10.3045891,6.221483827
203,415,10.43235946,7.175250205
203,214,10.45427074,6.511601161
203,532,10.4704795,6.406223571
203,982,10.48377474,6.857554469
203,682,10.50943344,6.30040427
203,515,10.6027964,6.684478305
203,158,10.62590589,7.132764781
203,408,11.18309392,7.482339809
203,190,11.28059392,8.872247624
203,461,11.29798387,6.869043156
203,984,11.66119011,7.187071053
203,473,11.66593921,7.623901956
203,478,11.87592483,7.800812653
203,192,12.43960804,7.518665963
203,604,12.58453462,8.142081506
203,0,12.69326804,8.496352139
203,316,13.0953468,8.772954775
203,891,13.22010052,9.368378397
203,602,13.48572343,7.962041896
203,479,13.80295856,8.028094035
203,999,14.50199059,10.16506578
203,451,14.5950761,8.690489545
203,218,15.47742447,11.32957472
203,499,16.19209884,9.144734151
203,605,16.59046068,11.77378104
203,168,16.73461523,9.229015174
203,477,16.78765871,10.05895357
203,488,16.92471767,12.39372491
203,464,17.04591688,9.228983237
203,455,17.34507219,12.78466189
203,383,18.39484317,13.2439628
203,801,19.39245598,13.03492665
203,533,21.86029885,15.01888412
203,423,22.25544573,15.24972156
203,248,22.53803919,15.58344216
203,436,22.75206636,15.58373248
203,490,23.03202595,15.49876374
203,275,23.06349988,15.52904485
203,438,23.31569654,15.85922329
203,971,23.55862937,32.03599818
203,212,23.62234006,17.66522246
203,181,24.82523666,32.47796007
203,161,25.24837172,32.81575108
203,301,25.43570447,30.71167993
203,509,26.17776457,32.94219775
203,150,26.29743362,32.99545753
203,981,26.73878561,35.83492415
203,292,26.94851144,33.7888982
203,258,27.02365155,33.55543964
203,424,27.32360911,36.03646643
203,110,28.03114552,36.64393805
203,179,28.3948727,34.53543894
203,419,29.17600636,37.44930386
203,522,30.37569574,40.08774108
203,117,31.49361252,40.49888133
192,192,0,0
192,214,3.570657873,1.512067896
192,451,4.714088742,2.10869095
192,497,5.309354512,3.039258523
192,682,5.514198843,3.118178966
192,532,6.276676991,3.425288435
192,477,6.906671348,3.477154978
192,515,6.971612166,3.879853077
192,278,7.406639364,4.042588805
192,801,7.522055795,4.323179234
192,464,7.55291396,3.768827174
192,461,7.920823516,4.1430509
192,178,8.183427594,4.657538218
192,437,8.228878134,4.29711603
192,248,8.449534996,4.684421645
192,602,8.576560871,4.115825837
192,436,8.663562168,4.684711968
192,478,9.878033384,5.828939474
192,223,9.955261525,5.752066098
192,533,9.989898667,6.307136708
192,252,10.05187954,5.588495374
192,212,10.05356657,5.296446247
192,479,10.17177432,5.223468807
192,499,10.35732535,4.719524718
192,423,10.38504555,6.537974147
192,168,10.47954283,4.787856787
192,412,10.92062777,6.173966266
192,490,11.16162577,6.787016324
192,275,11.19309969,6.817297438
192,891,11.3442125,7.135127898
192,438,11.44529636,7.147475872
192,750,11.50447612,7.075270717
192,264,11.85492882,6.937316698
192,426,12.40380969,7.375840935
192,190,12.40700631,7.628842867
192,999,12.62610257,7.93181528
192,203,12.6808859,7.495366879
192,415,12.73578397,7.474647207
192,0,12.90195022,7.261340946
192,218,12.99775327,7.921592541
192,405,13.10804842,7.646560553
192,488,13.20131285,7.683266998
192,455,13.62166738,8.074203987
192,605,13.66654863,8.069067743
192,473,13.96936371,7.923298958
192,328,14.1675111,8.022612109
192,316,14.33417747,9.010550613
192,383,15.02097022,8.858687206
192,408,15.37581288,9.840453916
192,158,16.11516222,10.30359112
192,982,16.30657368,10.45258569
192,457,16.68331612,11.61966679
192,301,16.7957464,10.7203419
192,971,19.13970156,15.16802595
192,181,20.06909048,15.63544867
192,161,20.49222555,15.97323968
192,292,22.19236526,16.9463868
192,516,22.48275631,14.22017012
192,450,22.83682951,14.75892393
192,509,23.36035237,19.41459947
192,150,23.48002143,19.46785925
192,981,23.92137341,22.30732587
192,604,23.99775549,17.02126177
192,394,24.04853997,18.64862119
192,258,24.20623935,20.02784136
192,424,24.50619691,22.50886815
192,179,24.55219265,18.40521541
192,110,25.21373332,23.11633977
192,984,26.30893228,19.30976826
192,419,26.35859416,23.92170558
192,522,27.55828355,26.5601428
192,117,28.67620032,26.97128305
212,212,0,0
212,436,1.687819277,0.661523167
212,248,2.085227155,0.820983294
212,464,3.616782683,1.518112654
212,423,4.22087254,2.188980875
212,477,4.567238825,2.379263664
212,490,4.900558415,2.262110286
212,168,5.1958548,2.222757017
212,801,5.447217222,3.30166125
212,499,5.692293423,2.388315729
212,451,6.85393128,3.835916898
212,533,7.858704292,5.135390552
212,602,8.777758175,4.234749099
212,275,9.06190532,5.645551283
212,488,10.37628181,7.073530676
212,192,10.42904983,5.382276784
212,455,10.79663634,7.464467664
212,605,10.84151759,7.459331421
212,532,10.978246,5.179042875
212,515,11.4904422,5.29184574
212,214,11.794919,6.02366316
212,682,11.95533669,5.510371723
212,497,11.96012057,5.496694884
212,383,12.19593918,8.248950883
212,438,13.02947549,9.126235128
212,479,13.15837107,5.521780676
212,461,13.23578185,6.192398771
212,218,13.51602603,9.980647945
212,891,14.16312759,10.53500204
212,478,14.42303315,11.45913913
212,971,15.02522853,13.13543147
212,437,15.17306081,7.412567847
212,301,15.31348475,10.72250653
212,278,15.34094014,8.192383278
212,999,15.45197836,11.27778668
212,0,15.70818267,11.25913562
212,426,15.74684385,13.2913841
212,181,15.95461745,13.60285418
212,415,16.07881813,13.39019037
212,178,16.11772837,8.807332691
212,161,16.37775252,13.94064519
212,252,16.82608222,8.561559249
212,473,17.31239788,13.83884212
212,316,17.58557743,13.23433912
212,264,17.92308961,15.02687921
212,292,18.07789223,14.91379231
212,408,18.62721284,14.06424242
212,509,19.24587934,17.38200498
212,412,19.24688582,11.72978939
212,150,19.3655484,17.43526477
212,158,19.36656218,14.52737962
212,405,19.54599327,15.91638475
212,982,19.55797364,14.6763742
212,203,19.60475123,16.67491097
212,223,19.69246512,12.0985851
212,981,19.80690038,20.27473138
212,750,19.83073417,12.63109384
212,258,20.09176632,17.99524687
212,424,20.39172388,20.47627367
212,179,20.43771962,16.37262092
212,190,20.73326436,13.18466599
