ObjectID,Total_TravelTime,Total_Kilometers,Origin_School,Dest_School,,,
404,26.77719666,23.83254518,179,478,657,,
405,26.9518799,24.77775269,179,426,605,,
406,27.10173658,23.02094235,179,218,397,,
407,27.23140376,26.63775688,179,461,640,,
408,27.57583081,24.64727554,179,0,179,,
409,27.88634528,25.17132206,179,415,594,,
410,27.88634528,25.17132206,179,999,1178,,
411,28.13863249,20.57486889,179,497,676,,
412,28.43203717,20.56877595,179,178,357,,
413,28.43203717,20.56877595,179,252,431,,
414,28.51301468,31.29755926,179,223,402,,
415,28.65293858,24.05266906,179,515,694,,
416,28.81006253,20.8511989,179,682,861,,
417,29.01694612,34.05120525,179,203,382,,
418,29.19040133,21.05838262,179,602,781,,
419,29.48080848,25.43000643,179,473,652,,
420,29.49270394,34.24505551,179,405,584,,
421,30.22338112,27.33277371,179,437,616,,
422,30.23965101,34.57994127,179,264,443,,
423,31.14847064,35.53597412,179,278,457,,
424,31.40428635,26.88782943,179,316,495,,
425,31.52595567,26.78749362,179,516,695,,
426,31.58870232,26.63522948,179,408,587,,
427,31.58870232,26.63522948,179,158,337,,
428,33.88645935,29.5681342,179,982,1161,,
429,34.74816103,29.04365124,179,450,629,,
430,35.31120095,29.45255088,179,604,783,,
431,35.33337238,36.33027795,179,984,1163,,
432,36.66586896,37.29320387,179,394,573,,
433,0,0,424,424,848,,
434,2.507407087,2.052794502,424,981,1405,,
435,3.423419425,2.174741097,424,258,682,,
436,3.857378745,2.295172043,424,150,574,,
437,4.350150247,3.477820543,424,110,534,,
438,4.350150247,3.477820543,424,532,956,,
439,5.034638838,4.511860453,424,522,946,,
440,5.246482268,2.912182504,424,179,603,,
441,5.309399202,3.915008106,424,419,843,,
442,7.315675706,4.276841294,424,292,716,,
443,7.736490156,6.898631316,424,117,541,,
444,8.393610415,6.430305378,424,161,585,,
445,8.436723813,6.75561871,424,971,1395,,
446,8.523819258,7.982113494,424,181,605,,
447,10.66088002,9.637636025,424,509,933,,
448,11.68050775,9.756593847,424,301,725,,
449,14.89125499,12.70189501,424,438,862,,
450,14.92999801,14.01741146,424,533,957,,
